X Y Z
-45.0 -119.1875 -156.875
-45.125 -119.125 -157.1875
-45.0 -119.125 -157.25
-44.875 -119.0625 -156.9375
-44.6875 -118.75 -156.6875
-44.6875 -118.5625 -156.4375
-44.375 -118.3125 -156.0
-44.125 -118.625 -155.875
-44.0625 -118.625 -156.3125
-44.0625 -119.125 -156.625
-43.8125 -119.25 -156.6875
-43.75 -119.5625 -156.9375
-43.9375 -119.9375 -157.0
-44.0625 -120.125 -156.875
-43.875 -120.0625 -156.8125
-43.875 -119.9375 -157.0
-44.125 -120.0 -157.0
-44.0625 -119.5 -157.0
-44.125 -119.125 -157.3125
-44.5625 -118.875 -157.1875
-44.5 -119.1875 -157.0
-44.4375 -119.125 -157.0625
-44.4375 -119.1875 -157.125
-44.375 -119.5625 -157.125
-44.0625 -119.875 -157.1875
-43.8125 -120.125 -157.25
-43.9375 -120.0 -157.3125
-44.125 -119.8125 -157.25
-43.9375 -119.5625 -157.0625
-43.875 -119.0 -156.4375
-44.1875 -118.8125 -156.8125
-44.25 -118.875 -156.875
-44.3125 -118.625 -157.0
-44.25 -118.875 -157.1875
-44.375 -119.25 -157.8125
-44.1875 -118.9375 -157.5625
-43.75 -118.875 -157.625
-43.375 -119.1875 -157.625
-43.375 -119.125 -157.25
-43.6875 -119.0 -157.125
-43.8125 -119.4375 -156.8125
-44.0 -119.8125 -156.4375
-44.375 -119.8125 -156.125
-44.625 -119.9375 -156.3125
-44.0625 -119.9375 -156.3125
-44.0 -120.0 -157.0
-44.0625 -120.0625 -157.625
-43.8125 -119.5625 -157.6875
-43.9375 -119.0 -157.5625
-44.3125 -119.3125 -157.6875
-44.5 -119.3125 -157.4375
-44.5625 -119.0625 -156.6875
-44.5625 -119.4375 -156.75
-44.625 -119.8125 -157.125
-44.3125 -119.5 -157.0
-44.375 -119.125 -157.125
-44.375 -119.0 -157.0625
-44.5625 -119.1875 -157.3125
-44.375 -119.1875 -156.875
-44.6875 -119.3125 -156.875
-44.6875 -119.3125 -156.5
-44.625 -119.1875 -156.8125
-44.6875 -119.0 -156.625
-44.5 -118.6875 -156.4375
-44.4375 -118.625 -156.375
-44.125 -118.875 -156.125
-44.1875 -118.75 -156.0625
-44.0625 -118.9375 -155.9375
-44.375 -119.0 -155.9375
-44.5 -119.5625 -156.4375
-44.8125 -119.3125 -156.6875
-44.8125 -119.3125 -156.8125
-44.5625 -119.125 -156.9375
-44.25 -119.3125 -156.875
-43.875 -118.8125 -156.75
-44.0625 -118.75 -156.6875
-44.0625 -118.9375 -156.5
-44.375 -119.0 -156.9375
-44.6875 -119.125 -157.0
-44.875 -119.0625 -156.75
-44.625 -118.8125 -157.0
-44.625 -118.875 -157.4375
-44.25 -118.9375 -157.0625
-44.125 -118.625 -157.5
-44.25 -118.875 -157.6875
-44.3125 -119.0625 -157.6875
-44.0625 -119.375 -156.8125
-43.8125 -119.5625 -156.625
-43.9375 -119.6875 -156.75
-43.9375 -119.5 -156.8125
-43.6875 -119.75 -156.25
-43.75 -119.1875 -156.625
-44.4375 -119.1875 -156.5625
-44.1875 -119.375 -156.125
-44.375 -119.3125 -155.875
-44.875 -118.9375 -156.0
-44.9375 -118.8125 -156.5
-44.75 -118.6875 -156.625
-44.875 -118.875 -156.5
-44.875 -118.8125 -156.9375
-44.9375 -119.125 -157.0625
-45.1875 -119.4375 -156.875
-45.0 -119.125 -156.75
-44.9375 -118.625 -157.125
-44.75 -118.75 -156.8125
-44.5625 -118.25 -156.8125
-43.875 -118.375 -156.875
-44.375 -119.0625 -156.75
-44.625 -118.4375 -156.625
-44.6875 -118.5 -157.1875
-44.8125 -119.0625 -157.5
-44.875 -118.9375 -157.0
-44.375 -118.5625 -157.125
-44.1875 -119.375 -156.9375
-43.875 -119.4375 -156.5625
-43.6875 -119.125 -156.375
-44.0625 -119.1875 -156.375
-44.0 -119.1875 -156.3125
-43.875 -119.375 -156.5625
-44.5 -119.3125 -156.375
-44.625 -119.375 -156.4375
-44.5625 -119.1875 -156.375
-44.875 -119.0625 -156.9375
-45.1875 -118.75 -157.0625
-44.625 -118.5 -157.1875
-44.4375 -118.3125 -157.25
-44.4375 -118.125 -157.75
-44.375 -118.0625 -157.125
-43.9375 -117.6875 -157.0625
-44.375 -118.25 -156.8125
-44.4375 -118.6875 -156.75
-44.4375 -119.4375 -156.625
-44.6875 -119.75 -156.75
-44.8125 -119.875 -156.5
-44.4375 -119.3125 -156.375
-44.6875 -119.1875 -156.1875
-44.6875 -118.9375 -156.0625
-44.6875 -118.9375 -156.1875
-44.625 -119.125 -156.375
-44.875 -119.5 -156.75
-44.6875 -119.6875 -156.6875
-44.5625 -119.625 -156.75
-44.125 -119.5625 -156.6875
-44.5 -119.625 -156.9375
-44.5 -119.5625 -157.0625
-44.625 -119.3125 -157.25
